body_part_key,total_episodes,avg_duration_days,pct_of_all_episodes
InjLAnkle,452,9.9,10.52
InjRAnkle,433,9.8,10.08
InjLKnee,420,17.3,9.78
InjRKnee,396,14.3,9.22
InjLowerBack,380,9.6,8.85
InjLHip,182,6.9,4.24
InjRHip,164,8.1,3.82
InjHead,144,5.1,3.35
InjRFoot,135,18.3,3.14
InjLShinCalf,134,13.1,3.12
InjRShoulder,129,11.7,3.0
InjLFoot,127,15.2,2.96
InjRShinCalf,124,9.8,2.89
InjLHamstring,105,15.5,2.44
InjRHamstring,92,9.6,2.14
InjRFingers,79,11.8,1.84
InjRWrist,79,14.2,1.84
InjLShoulder,70,11.2,1.63
InjRQuad,69,6.6,1.61
InjLQuad,65,4.9,1.51
InjLFingers,63,8.4,1.47
InjLToes,51,11.6,1.19
InjLWrist,46,14.9,1.07
InjRAchilles,41,26.5,0.95
InjLAchilles,37,16.8,0.86
InjNeck,36,6.3,0.84
InjRElbow,36,16.2,0.84
InjRHand,35,9.9,0.81
InjChest,34,7.6,0.79
InjRToes,33,11.2,0.77
InjLHand,28,11.1,0.65
InjLElbow,24,7.9,0.56
InjAbdominals,19,25.5,0.44
InjROblique,10,15.6,0.23
InjUpperBack,9,4.2,0.21
InjRForearm,6,6.3,0.14
InjLOblique,4,17.5,0.09
InjLForearm,3,10.0,0.07
InjRUpperArm,1,1.0,0.02
